comment,subjetivity,polarity
Best fortress restaurabte. Incomparable. Wide and excellent menu. All dishes are sensational. Loved the restaurant.,0.6277777777777778,0.611111111111111
"The Subway network, without a doubt, is wonderful. But the Rodoviu00e1ria do Ti ~ ete franchise is a disaster. Bad service, time consuming, small and dirty space, does not have the cheapest and promotional combos, in short, tragic!",0.6527777777777777,-0.24791666666666665
"We went to the Nau due to the recommendation of a friend. It is a large restaurant, with a large and well-lit lounge. On the menu, several options of dishes with shrimp, we chose the shrimp five seas. The dish was well prepared, the combination of flavors pleased us and the shrimp was very tender, perfect.",0.5045918367346939,0.28622448979591836
It is already the third time in this intimate restaurant. Curious and very good cuisine. We always ask for the tasting menu and it is very worthwhile (the 5 course 270 per person and the complete 7 or 8 courses for around R $ 410). The dishes are well prepared and really Gourmets. I recommend it to anyone who wants to taste the dishes.,0.46625000000000005,0.27
"I have been to Jam Itaim more than once, other times the service was very good, but this time it left a lot to be desired. The night was only good because the food was very, very good. The service at the Sushi Bar (counter) was reasonable. I confess that we were disappointed and that when we return to Su00e3o Paulo we will definitely go to Jam Jardins, as we opted for Itaim because we were staying closer to this unit. The waiters were concerned and only serving full tables (certainly concerned with tips and 10% services, including the waiter brought us the note there including the 10% and told us to remove it (he didn't like it) but we didn't get a good one service and yes it comes bad. A pity because the food is too tasty and the atmosphere very pleasant. We will not return. Pity !! Claudia Castro",0.5929497354497353,0.20035383597883596
"Top steakhouse!Loved it! Wonderful meats! And the price of the carvery is quite fair, close to what I'm used to in Rio de Janeiro ... Coming back to Porto Alegre, I'll be back for sure!",0.5481481481481482,0.4916666666666667
"Super well served, great drinks and food very well served, waiters all attentive, especially Charles, very polite, I recommend the visit.",0.6527777777777778,0.32222222222222224
"TripAdvisor, correct the price information for this place!We ordered a portion of risotto dumpling which was ok. There are 4 tiny dumplings (the size of an olive) that cost 32.00!As a dish, we shared a moqueca (the dish is individual but we refuse to pay too much) which was good. The price is 89.00 !!To drink, two cokes, because the juices (14.00) and the drinks (minimum 30.00) were very expensive.The total bill was 160.00, with 13% of service!It's not worth the price.",0.41875,0.21875
"store with easy access, located in the center of the reef, in one of its main avenues. worth going.",0.3416666666666667,0.2
"Temaki well done with the crunchy Nori. Everything fresh and tasty. Various flavors. Simple environment, however, for a stop to kill your hunger is very reasonable.",0.5342857142857143,0.14
"The tent is from a very young boy, who likes to surf and is there 24 hours a day, the simplest of the 3 in this region, but they are more efficientThe tent is from youth to youth, simple as that, I'm over 50, but I'm young.Maybe the only one that doesn't make any artificial sounds from the whole beach. Even though, don't put it kkkk, says that the sound of the sea is enoughIt's too quiet and you feel at homeSo much so that we went back to the tent two more times!I really recommend it!We eat red with painWe really like Piru00e3o, and tropeiro beans ...High level serviceWe will be back in the next vacation",0.3506547619047619,0.108125
"I found out I was one of the best, so I wanted to take the test! Great! I ordered cod and Pastel de Belu00e9m which left nothing to be desired than what I ate in Portugal! Added to a good wine and good chat! I recommend!",0.45,0.74
"Good food, honest prices, wine options with good cost.Great service.Very pleasant climate.",0.7666666666666667,0.6833333333333332
"Very nice place attentive waiters and the restaurant to my surprise does not charge 10% of the service. The dishes are tasty, very well served as a single quantity. If you go as a couple, most likely there will be food left over. They should create the option with half a plate / portion. Charging 60% of the value of the dish. Sometimes less more.",0.4647619047619047,0.19752380952380952
"Food very well made and tasty. It took a while to deliver the dishes, which was understood as the place was packed. We took the last vacant indoor table. Order the banana farofa.",0.18333333333333332,0.1
"Great. Located in Porto Alegre, Rio Grande do Sul. Offers lunch, snacks, juices, vitamins, milk, soft drinks, among other things. Everything is of the highest quality.",0.36875,0.21875
"Certainly the best burger I've ever eaten. Very tasty, beautiful and pleasant place, great service and the menu is excellent.The roasted heart of palm is famous and very tasty, but the burger is divine!Worth knowing!",0.6485119047619048,0.5684523809523809
"The air conditioning is not pleasant and I observed carelessness in cleaning the tablecloth. However, it has tasty pizzas and kind service.",0.9333333333333333,0.11666666666666667
"Restaurant with excellent quality, one of the best restaurants in BH, service, food, comfort and excellent environments. I recommend it to everyone who is demanding and does not give up quality.",0.7666666666666666,1.0
"Perfect alliance between flavor, presentation, warm atmosphere and service! I highly recommend it! There is a limited number of tables, so I recommend booking or arriving early.",0.5165714285714286,0.39571428571428574
"Very good cost benefit, attended by Marcos and Mr Gilson! Good wine, good food, congratulations to all! Thanks",0.5450000000000002,0.6937500000000001
"Its specialty is seafood, incredible variety, but also has great meat options. Incredible view of Beira Mar overlooking the sea. A spectacular sunset. Great to go for drinks with friends and by the way some sensational caipiroskas. And eat a unique shrimp rice.",0.838095238095238,0.7202380952380952
"as the name suggests, the food is really good, like grandmau2019s food, with excellent cost benefit and first class service.",0.6444444444444445,0.65
"The restaurant is small and to get a table you must arrive in advance, but the wait is rewarding !! The meats are excellent and the side dishes, which are served on a rotating basis, are delicious! The service is also impeccable! A tip for 2 people is to try the Bisteca Fiorentina!",0.8300000000000001,0.70625
Very cozy place in front of the sea and a wonderful pizza great service from the waiter Paulo,0.9083333333333333,0.5133333333333333
"Plenty of buffet options, drinks and desserts for one price! Pleasant space, delicious meals and perfect service!",0.9888888888888889,0.9111111111111111
During the week the restaurant serves by the kilo system.The dishes are different and very tasty.They also make the famous detox juices that are delicious!,0.725,0.425
"It is a great option for those who like meat. The atmosphere is wonderful, the service is great and the food is excellent. We were very pleased with everything on site. The meat came as we ordered and the accompanying portion served two people well. The price is reasonable. I highly recommend it.",0.8057142857142857,0.6585714285714286
Very nice and well structured restaurant. Diverse menu with featured shrimp dishes. But with good sun meat and an excellent cod pastry.,0.8666666666666667,0.8266666666666667
"I just ate a Maitre-style fish. It was wonderful. Only detail, the cook forgot the lobster that accompanies the dish. Still, the dish is great and the price is excellent.",0.9375,0.7
"Restaurant space, with pleasant atmosphere. It offers carvery, but the cover charge is so abundant that it is more worthwhile to order individual or executive dishes. Excellent cost benefit. I ordered the executive dish with lamb. Very tender and tasty meat. I asked for accompaniment (makes up the dish) eggplant paste, cigar and sour cream. Stupendous !!!",0.524074074074074,0.37115162037037036
"very good quality pizzas and crepes, always with a good service with many flavors and good price.",0.6200000000000001,0.7024999999999999
"Great food. Cost-effective executive lunch very good. Only 29 reais per starter, main course and dessert. Also very good service.",0.7286666666666668,0.5573333333333333
"I loved the food and the service is very good the happy family associated with rice with vegetables, a bird chicken uuuummmmm",0.8825000000000001,0.4525
"Very well located, very close to the beach of Boa Viagem, this restaurant serves a good variety of options at lunch time. If you are looking for a self service by weight, this is a good option.Open and pleasant place to sit and chat.It could have an air-conditioned lounge ...",0.5533333333333335,0.5066666666666666
"Best food, wonderful staff, pet friendly and extremely pleasant environment and has delivery. Tip: pizza sticks",0.6916666666666667,0.7770833333333333
"The first time I was at Nez, it was due to the dish of good memories, we liked everything so much that we decided to come back taking a couple of friends to meet him, as a result, again we approved everything we tried. I only make one caveat, I was unable to speak on the phone to make a reservation, I was afraid it was closed on Saturday night, as it was holy week, but through information from the branch on a good trip, they assured us it was open.",0.4923611111111111,0.09374999999999999
"We haven't been to Vignoli for some time ... And although the menu, uniform, staff have changed ... And even some addresses ... Huuuuuuuuuuuuum! The very tasty pizza remains the same. Very good! Worth knowing.",0.32625000000000004,0.375
"The restaurant is large, has many tables, the service is excellent. Since the entrance in which the employee introduced the entire restaurant, explained how it works, showed the most typical foods, accommodated us at the table and gave a sample of the main juices in the house. The rennet cheese is very good with the manioc bread. Shrimp risotto was exceptional. Topper dessert is also good too. The only negative point of the restaurant is that it is far from Ponta Negra, but it is worth getting uber to go there to taste the dishes.",0.6262074829931973,0.3279251700680272
